document_id,title,organization,version,published,type,status,source_url,usage_terms,collected_date
nist_ai_600_1,Artificial Intelligence Risk Management Framework: Generative Artificial Intelligence Profile,NIST,NIST AI 600-1,2024-07-26,PDF,downloaded,https://www.nist.gov/publications,NIST Technical Series; generally not subject to U.S. copyright; attribution recommended,2026-09-22
owasp_llm_top10_2025,OWASP Top 10 for LLM Applications 2025,OWASP,2025,2024-11-18,PDF,downloaded,https://genai.owasp.org/,Creative Commons Attribution-ShareAlike 4.0 (CC BY-SA 4.0),2026-09-22
nist_sp_800_61r3,Incident Response Recommendations and Considerations for Cybersecurity Risk Management,NIST,SP 800-61 Rev. 3,2025-04,PDF,downloaded,https://www.nist.gov/publications,NIST Technical Series; generally not subject to U.S. copyright; attribution recommended,2026-09-22
nist_sp_800_228_upd1,Guidelines for API Protection for Cloud-Native Systems,NIST,SP 800-228 Update 1,2026-03-13,PDF,downloaded,https://www.nist.gov/publications,NIST Technical Series; generally not subject to U.S. copyright; attribution recommended,2026-09-22
nist_sp_800_207,Zero Trust Architecture,NIST,SP 800-207,2020-08,PDF,downloaded,https://www.nist.gov/publications,NIST Technical Series; generally not subject to U.S. copyright; attribution recommended,2026-09-22
nist_sp_800_207a,A Zero Trust Architecture Model for Access Control in Cloud-Native Applications in Multi-Cloud Environments,NIST,SP 800-207A,2023-09,PDF,downloaded,https://www.nist.gov/publications,NIST Technical Series; generally not subject to U.S. copyright; attribution recommended,2026-09-22
nist_sp_800_218a,Secure Software Development Practices for Generative AI and Dual-Use Foundation Models,NIST,SP 800-218A,2024-07,PDF,downloaded,https://www.nist.gov/publications,NIST Technical Series; generally not subject to U.S. copyright; attribution recommended,2026-09-22
nist_ai_100_1,Artificial Intelligence Risk Management Framework (AI RMF 1.0),NIST,NIST AI 100-1,2023-01-26,PDF,downloaded,https://www.nist.gov/publications,NIST Technical Series; generally not subject to U.S. copyright; attribution recommended,2026-09-22
nist_sp_800_218,Secure Software Development Framework (SSDF) Version 1.1,NIST,SP 800-218,2022-02,PDF,downloaded,https://www.nist.gov/publications,NIST Technical Series; generally not subject to U.S. copyright; attribution recommended,2026-09-22
nist_sp_800_53r5,Security and Privacy Controls for Information Systems and Organizations,NIST,SP 800-53 Rev. 5,2020-09,PDF,downloaded,https://www.nist.gov/publications,NIST Technical Series; generally not subject to U.S. copyright; attribution recommended,2026-09-22
nist_sp_800_53ar5,Assessing Security and Privacy Controls in Information Systems and Organizations,NIST,SP 800-53A Rev. 5,2022-01,PDF,downloaded,https://www.nist.gov/publications,NIST Technical Series; generally not subject to U.S. copyright; attribution recommended,2026-09-22
nist_ai_100_2_e2025,Adversarial Machine Learning: A Taxonomy and Terminology of Attacks and Mitigations,NIST,NIST AI 100-2 E2025,2025-03-24,PDF,downloaded,https://www.nist.gov/publications,NIST Technical Series; generally not subject to U.S. copyright; attribution recommended,2026-09-22
nist_sp_800_190,Application Container Security Guide,NIST,SP 800-190,2017-09,PDF,downloaded,https://www.nist.gov/publications,NIST Technical Series; generally not subject to U.S. copyright; attribution recommended,2026-09-22
nist_sp_800_204,Security Strategies for Microservices-based Application Systems,NIST,SP 800-204,2019-08,PDF,downloaded,https://www.nist.gov/publications,NIST Technical Series; generally not subject to U.S. copyright; attribution recommended,2026-09-22
nist_sp_800_204a,Building Secure Microservices-based Applications Using Service-Mesh Architecture,NIST,SP 800-204A,2020-05,PDF,downloaded,https://www.nist.gov/publications,NIST Technical Series; generally not subject to U.S. copyright; attribution recommended,2026-09-22
nist_sp_800_204c,Implementation of DevSecOps for a Microservices-based Application with Service Mesh,NIST,SP 800-204C,2022-03,PDF,downloaded,https://www.nist.gov/publications,NIST Technical Series; generally not subject to U.S. copyright; attribution recommended,2026-09-22
nist_sp_800_204b,Attribute-based Access Control for Microservices-based Applications using a Service Mesh,NIST,SP 800-204B,2021-08-06,PDF,downloaded,https://www.nist.gov/publications,NIST Technical Series; generally not subject to U.S. copyright; attribution recommended,2026-09-22
nist_sp_800_204d,Strategies for the Integration of Software Supply Chain Security in DevSecOps CI/CD Pipelines,NIST,SP 800-204D,2024-02-12,PDF,downloaded,https://www.nist.gov/publications,NIST Technical Series; generally not subject to U.S. copyright; attribution recommended,2026-09-22
nist_sp_800_160v1r1,Engineering Trustworthy Secure Systems,NIST,SP 800-160 Vol. 1 Rev. 1,2022-11,PDF,downloaded,https://www.nist.gov/publications,NIST Technical Series; generally not subject to U.S. copyright; attribution recommended,2026-09-22
nist_sp_800_160v2r1,Developing Cyber-Resilient Systems: A Systems Security Engineering Approach,NIST,SP 800-160 Vol. 2 Rev. 1,2021-12,PDF,downloaded,https://www.nist.gov/publications,NIST Technical Series; generally not subject to U.S. copyright; attribution recommended,2026-09-22
